"","PARTENAIRE","ENVIRONNEMENT","YEAR","DEBUT_EXP","DEBUT_CW","FIN_CW","DEBUT_FLO","FIN_FLO","FIN_EXP","DUREE_AU","DUREE_CW","DUREE_BO","DUREE_FLO","DUREE_P","DEBUT_EXP_s","DEBUT_CW_s","FIN_CW_s","DEBUT_FLO_s","FIN_FLO_s","FIN_EXP_s","ZERO","INF"
"1","INRA11","LR11",2011,2010-09-14,2010-11-23,2011-01-11,2011-03-26,2011-04-16,2011-06-23,70,49,74,21,68,2000-09-14,2000-11-23,2001-01-11,2001-03-26,2001-04-16,2001-06-23,0,20000
"2","BGA11","MD11",2011,2010-09-08,2010-11-24,2011-01-06,2011-03-21,2011-04-11,2011-06-09,77,43,74,21,59,2000-09-08,2000-11-24,2001-01-06,2001-03-21,2001-04-11,2001-06-09,0,20000
"3","INRA12","LR12",2012,2011-09-16,2012-01-14,2012-02-23,2012-03-25,2012-04-15,2012-06-29,120,40,31,21,75,2000-09-16,2001-01-14,2001-02-23,2001-03-25,2001-04-15,2001-06-29,0,20000
"4","INRA13","LR13",2013,2012-09-17,2013-01-13,2013-03-03,2013-03-31,2013-04-21,2013-07-06,118,49,28,21,76,2000-09-17,2001-01-13,2001-03-03,2001-03-31,2001-04-21,2001-07-06,0,20000
"5","TI13","DIJ13",2013,2012-09-18,2013-01-07,2013-03-06,2013-04-24,2013-05-15,2013-07-17,111,58,49,21,63,2000-09-18,2001-01-07,2001-03-06,2001-04-24,2001-05-15,2001-07-17,0,20000
"6","EUR14","CH14",2014,2013-09-19,2013-11-16,2014-01-03,2014-03-19,2014-04-09,2014-06-20,58,48,75,21,72,2000-09-19,2000-11-16,2001-01-03,2001-03-19,2001-04-09,2001-06-20,0,20000
"7","SYN14","VER14",2014,2013-09-22,2013-11-16,2013-12-17,2014-04-07,2014-04-28,2014-07-06,55,31,111,21,69,2000-09-22,2000-11-16,2000-12-17,2001-04-07,2001-04-28,2001-07-06,0,20000
"8","MAD14","SEL14",2014,2013-09-20,2013-11-16,2013-12-23,2014-03-31,2014-04-21,2014-06-28,57,37,98,21,68,2000-09-20,2000-11-16,2000-12-23,2001-03-31,2001-04-21,2001-06-28,0,20000
"9","RAGT14","PRE14",2014,2013-09-21,2013-11-20,2013-12-14,2014-04-02,2014-04-23,2014-06-29,60,24,109,21,67,2000-09-21,2000-11-20,2000-12-14,2001-04-02,2001-04-23,2001-06-29,0,20000
"10","TI15","DIJ15",2015,2014-09-05,2014-11-29,2015-03-01,2015-04-11,2015-05-02,2015-06-29,85,92,41,21,58,2000-09-05,2000-11-29,2001-03-01,2001-04-11,2001-05-02,2001-06-29,0,20000
"11","LIM15","YEB15",2015,2014-09-25,2014-11-30,2015-03-09,2015-04-14,2015-05-05,2015-07-04,66,99,36,21,60,2000-09-25,2000-11-30,2001-03-09,2001-04-14,2001-05-05,2001-07-04,0,20000
"12","SYN15","VER15",2015,2014-09-02,2014-11-30,2015-03-08,2015-04-13,2015-05-04,2015-07-09,89,98,36,21,66,2000-09-02,2000-11-30,2001-03-08,2001-04-13,2001-05-04,2001-07-09,0,20000
"13","INRA15","LR15",2015,2014-09-24,2014-12-28,2015-01-25,2015-04-03,2015-04-24,2015-07-01,95,28,68,21,68,2000-09-24,2000-12-28,2001-01-25,2001-04-03,2001-04-24,2001-07-01,0,20000
"14","BGA15","MD15",2015,2014-09-23,2014-12-22,2015-02-14,2015-03-26,2015-04-16,2015-06-12,90,54,40,21,57,2000-09-23,2000-12-22,2001-02-14,2001-03-26,2001-04-16,2001-06-12,0,20000
"15","RAGT15","PRE15",2015,2014-09-10,2014-11-30,2015-03-07,2015-04-15,2015-05-06,2015-07-08,81,97,39,21,63,2000-09-10,2000-11-30,2001-03-07,2001-04-15,2001-05-06,2001-07-08,0,20000
"16","MAD15","SEL15",2015,2014-09-09,2014-11-30,2015-03-01,2015-04-10,2015-05-01,2015-07-02,82,91,40,21,62,2000-09-09,2000-11-30,2001-03-01,2001-04-10,2001-05-01,2001-07-02,0,20000
"17","INRA16","LR16",2016,2015-09-30,2016-01-13,2016-01-25,2016-03-22,2016-04-12,2016-06-26,105,12,57,21,75,2000-09-30,2001-01-13,2001-01-25,2001-03-22,2001-04-12,2001-06-26,0,20000
"18","INRA17","LR17",2017,2016-10-01,2016-11-28,2017-01-28,2017-03-30,2017-04-20,2017-06-25,58,61,61,21,66,2000-10-01,2000-11-28,2001-01-28,2001-03-30,2001-04-20,2001-06-25,0,20000
"19","INRA18","LR18",2018,2017-10-03,2017-11-29,2018-03-02,2018-04-06,2018-04-27,2018-06-29,57,93,35,21,63,2000-10-03,2000-11-29,2001-03-02,2001-04-06,2001-04-27,2001-06-29,0,20000
"20","EUR18","BLO18",2018,2017-10-02,2017-11-29,2018-03-03,2018-04-02,2018-04-23,2018-06-25,58,94,30,21,63,2000-10-02,2000-11-29,2001-03-03,2001-04-02,2001-04-23,2001-06-25,0,20000
