variety,SY_MT,SY_E1,SY_E2,SY_E3,SY_E4,SN_MT,SN_E1,SN_E2,SN_E3,SN_E4,TSW_MT,TSW_E1,TSW_E2,TSW_E3,TSW_E4,SY_BGA15_N1,SY_BGA15_N2,SY_EUR14_N1,SY_EUR14_N2,SY_INRAE15_N1,SY_INRAE15_N2,SY_LE15_N1,SY_LE15_N2,SY_MAD14_N1,SY_MAD14_N2,SY_R2N14_N1,SY_R2N14_N2,SY_R2N15_N1,SY_R2N15_N2,SY_SYN14_N1,SY_SYN14_N2,SY_SYN15_N1,SY_SYN15_N2,SY_TI15_N1,SY_TI15_N2,SY_MAD15_N1,SY_MAD15_N2,SN_EUR14_N1,SN_EUR14_N2,SN_BGA15_N1,SN_BGA15_N2,SN_INRAE15_N1,SN_INRAE15_N2,SN_LE15_N1,SN_LE15_N2,SN_MAD14_N1,SN_MAD14_N2,SN_R2N14_N1,SN_R2N14_N2,SN_R2N15_N1,SN_R2N15_N2,SN_SYN14_N1,SN_SYN14_N2,TSW_EUR14_N1,TSW_EUR14_N2,TSW_BGA15_N1,TSW_BGA15_N2,TSW_INRAE15_N1,TSW_INRAE15_N2,TSW_LE15_N1,TSW_LE15_N2,TSW_MAD14_N1,TSW_MAD14_N2,TSW_R2N14_N1,TSW_R2N14_N2,TSW_R2N15_N1,TSW_R2N15_N2,TSW_SYN14_N1,TSW_SYN14_N2
1,BRA_005_Sarepta,23.57755,32.07269,23.53342,22.69861,16.489087,51915.17,64468.93,53505.53,53786.98,36116.5,4.325288,4.1525,4.479624,4.198914,4.333333,17.1750000000183,24.8450000000045,20.1500000000062,28.9900000000137,24.2333333333314,23.5333333333362,24.4999999999976,25.0150000000027,23.014999999996,27.7649999999987,9.70999999999898,16.8299999999996,20.8188749999984,29.9390000000048,21.9050000000008,25.6849999999986,14.8559288849967,27.8257570350337,33.8600000000189,41.5900000000073,19.2663497300016,17.1985232450055,47349.5000000005,69926.5000000194,43447.4314289036,66253.500000022,51134.999999998,49078.3333333327,61357.0000000008,65851.9999999996,44462.6081200866,60963.0000000021,21894.000000003,39106.000000007,45803.4765850068,63829.8233699937,51547.999999999,60452.0000000109,4.25000000000004,4.14999999999995,3.67364251935055,3.72999999999976,4.73333333333329,4.80000000000137,3.99500000000033,3.80499999999999,4.54599757585583,4.55499999999962,4.45000000000087,4.29999999999997,4.55000000000024,4.70000000000009,4.25000000000061,4.25000000000014
2,BRA_008_Aviso,31.53781,41.68274,32.94951,29.39417,21.784606,62269.96,78265.31,65977.02,63076.44,41347.13,4.811098,4.6625,5.016171,4.685,4.683714,25.1500000000176,32.655000000007,22.1080948708927,29.4850000000117,31.2666666666659,32.0333333333333,28.505,37.7850000000013,34.895,37.77,12.9249999999981,23.3500000000001,31.55327778,42.4637743050004,26.7550000000022,33.8650000000007,22.66119333,36.3759666650325,40.0000000000145,52.5700000000014,28.75468324,30.9028697300063,45137.2628835395,63219.0000000199,58012.5000000195,78827.0000000222,60518.9999999982,63152.6666666663,61633.4999999997,81716.9999999996,65526.6081200867,65894.6971817839,28715.0000000029,50174.5000000068,62522.0384000002,81661.1044300001,56314.000000001,71283.50000001,4.9,4.64999999999999,4.365,4.14500000000001,5.16000000000009,5.06000000000012,4.63000000000025,4.625,5.01599757585606,5.63837725134486,4.50000000000115,4.65000000000005,5.05,5.2,4.75000000000026,4.74999999999934
3,BRA_009_Jupiter,22.75279,30.55381,21.51708,24.09444,15.411139,44028.3,56982.76,42721.87,49790.15,26943.8,4.876837,4.82,4.987976,4.829192,4.75,18.8900000000176,23.615000000007,9.34809487089273,11.6309893145093,25.8666666666659,26.3,25.45,28.8850000000013,13.685,18.61,10.5099999999982,19.0300000000001,23.608472225,32.7753854150004,24.4450000000022,31.1850000000007,18.314965925,27.9302540750325,31.5600000000145,33.8400000000014,22.75581189,22.3173545950063,20908.2628835395,25462.5529176689,44940.4314288985,52273.5000000222,49145.6666666649,49669.6666666663,52848.4999999997,62393.9999999996,27671.5,36113.6971817839,21839.5000000028,38069.0000000068,45906.3976850003,60207.2204700001,49960.500000001,62497.50000001,4.45,4.39999999999999,4.17364251935067,4.51500000000001,5.26333333333343,5.29666666666678,4.81500000000025,4.64,4.94500000000005,5.06837725134486,4.80000000000115,5.00000000000005,5.15,5.45,4.90000000000026,4.99999999999934
4,BRA_011_Lembke,19.80453,25.71162,19.67209,20.25441,13.488064,NA,38167.58,41404.62,NA,29536.87,4.56821,4.455,4.810457,4.365813,4.483333,15.184848201671,22.640000000007,20.3550000000053,20.3450000000117,19.8666666666659,25.7,19.64,21.0350000000013,20.865,19.2,6.44508500087873,12.005,16.05226389,25.6987986100004,18.4800000000022,27.1750000000007,12.68646296,17.6564785150325,24.0900000000145,40.0650000000014,15.1404173,15.3542162200063,47937.5000000007,46920.5000000199,NA,53379.5000000222,44376.6666666649,57283.333333333,46402.9974396671,49933.9999999996,41434.6081200867,35214.6971817839,14247.7763721959,26403.0000000068,33001.9054350002,50389.8012000001,38507.500000001,57862.50000001,4.25,4.34999999999999,3.88364251935067,4.29000000000001,4.49333333333343,4.49333333333345,4.22055945567396,4.21,4.96599757585606,4.99837725134486,4.65000000000115,4.55000000000005,4.85,5.1,4.80000000000026,4.69999999999934
5,MP_001_Astrid,32.73741,45.32506,33.00252,31.40472,21.618544,63598.01,87193.38,66287.16,62924.89,42939.33,4.981944,4.53,5.098571,5.020833,4.933333,21.7050000000176,38.6900000000069,23.6950000000053,37.4600000000117,33.3333333333326,32.7,32.38,42.8050000000013,24.495,32.525,16.0599999999981,23.3600000000001,34.99059375,38.1373125000004,29.6200000000022,40.2150000000007,27.12444,37.0852325950325,41.5550000000146,59.8550000000014,23.359174055,29.0728389200063,49554.5000000007,78858.0000000199,50779.0000000195,84393.0000000222,58413.9999999982,56658.333333333,67480.9999999997,91864.4999999995,46798.5,63043.0000000016,33000.5000000029,46263.0000000068,67289.6033650003,69747.9221800001,59824.000000001,81410.00000001,4.85,4.74999999999999,4.27,4.63000000000001,5.70666666666676,5.77333333333345,4.79500000000025,4.66,5.23500000000005,5.15500000000027,4.90000000000115,5.05000000000005,5.2,5.5,4.95000000000026,4.94999999999934
6,MP_003_Mohican,29.22873,40.11775,29.62871,27.81,19.667822,55699.71,68882.37,60062.1,55291.64,37549.67,5.011406,4.745,5.114743,5.051944,4.866667,22.3300000000176,28.985000000007,19.4450000000053,27.5150000000117,29.2999999999992,29.1,29.205,36.0350000000013,26.775,32.805,12.1249999999981,23.5200000000001,32.1654375,36.2349895850004,27.9400000000022,32.6850000000007,23.60907111,32.6309874100325,37.7100000000145,54.0950000000014,23.58128973,25.2401913500063,38477.5000000007,55699.0000000199,49520.5000000195,63430.0000000222,52927.6666666649,49813.6666666663,60688.4999999997,76889.4999999996,57097.6081200867,61560.6971817839,25707.5000000029,48464.0000000068,60658.0039200003,67565.6031500001,55369.500000001,66015.00000001,5.05,4.94999999999999,4.52,4.54500000000001,5.54000000000009,5.84666666666678,4.81000000000025,4.69,4.88599757585606,5.55837725134486,4.70000000000115,4.85000000000005,5.3,5.35,5.05000000000026,4.94999999999934
7,R_002_Alsace1360,NA,NA,NA,NA,13.74669,NA,NA,NA,NA,30656,NA,NA,4.40391,NA,4.133333,20.4850000000176,24.390000000007,11.2750000000053,12.7850000000117,20.5999999999992,22.1666666666666,NA,NA,NA,9.17499999999999,8.98999999999815,17.94,23.1525,29.7113541650004,18.3400000000022,21.1000000000007,12.283755555,20.7920429600325,21.1700000000145,31.4600000000014,16.78175838,16.2245091900063,28635.5000000007,30665.5000000199,44703.4314288985,67914.0000000222,40679.6666666649,45059.6666666663,NA,NA,NA,21747.5000000016,22010.0000000028,41322.5000000068,52077.9828100002,63943.4185600001,43101.500000001,51519.50000001,3.95,4.19999999999999,3.95364251935067,3.61500000000001,5.06666666666676,4.91666666666679,NA,NA,4.88599757585606,4.23500000000027,4.10000000000115,4.35000000000005,4.45,4.65,4.25000000000026,4.09999999999934
8,R_008_Fertodielit,16.98623,22.33988,17.32333,17.81764,9.711451,33247.75,35322.82,35094.74,36653.31,20762.57,4.891814,4.83,4.932143,4.903017,4.816667,15.2851517983641,19.885000000007,10.0619051291179,12.5300000000117,18.3666666666659,22.7333333333333,15.21,20.0600000000013,15.5,19.06,8.58508500087873,11.1650000000001,19.30276736,24.0411354200004,15.4650000000022,23.0300000000007,9.8577837015,18.2945311100325,19.1250000000145,31.8800000000014,9.02770702550001,15.2649567550063,20507.7371164619,27889.5000000199,34418.4314288985,41353.819029502,39610.9999999982,47613.6666666663,29059.4999999997,40553.9999999996,29927.5,37109.0000000016,17281.7763721959,24490.5000000068,36728.2017250002,45502.0334050001,27985.500000001,51182.50000001,5.1,4.49999999999999,4.51364251935067,4.6971216185111,4.63000000000009,4.78333333333345,5.23500000000025,4.96,5.17500000000005,5.15000000000028,4.80000000000115,4.55000000000005,5.25,5.25,5.55000000000026,4.49999999999934
9,R_011_Gaspard,25.99328,33.48253,27.56122,24.45889,17.670638,49080.36,58476.17,52028.91,51353.43,31386.04,5.087925,4.77,5.411767,4.837803,5.045884,23.7350000000176,23.020000000007,18.4600000000053,30.7650000000117,24.7333333333326,28.2,24.205,29.4111876642878,27.25,31.445,10.8050850008787,18.5350000000001,24.400979165,30.8582604150004,22.8600000000022,29.8650000000007,21.013414075,28.1569244450325,30.3900000000145,45.9350000000014,22.875716215,24.8920794600063,36211.0000000007,60320.5000000199,54414.4314288985,52716.0000000222,48216.6666666649,56087.333333333,50490.4999999997,62174.8830057102,51116.6081200867,57339.0000000016,21897.7763721959,36027.0000000068,42070.6537400002,53333.3767350001,46293.000000001,59726.50000001,5.1,5.09999999999999,4.72364251935067,4.36500000000001,5.14000000000009,5.03666666666679,4.80000000000025,4.74,5.46599757585606,5.51000000000028,4.88975918094986,5.15000000000005,5.8,5.8,4.95000000000026,4.99999999999934
10,R_013_Gesunder,14.90362,20.30922,14.12471,15.6426,9.947647,NA,31181.68,26750.61,NA,17464.83,NA,4.78,5.311767,NA,5.283333,14.6150000000176,18.7589118551778,10.1050000000053,9.92500000001171,16.3333333333326,14.8,14.625,17.3400000000013,12.465,15.875,7.55499999999815,10.0750000000001,13.86546875,19.8189687500004,14.7100000000022,18.6900000000007,8.8573125925,14.5618925900325,21.8050000000145,27.5300000000014,12.055589185,13.5009037850063,19189.0000000007,19544.0000000199,31674.4314288985,NA,33378.3333333316,29432.6666666663,29998.4999999997,35665.4999999996,24797.6081200867,29538.5000000016,14545.5000000028,18660.0000000068,25417.4954400002,36402.9407450001,26480.000000001,34637.0000000099,5.25,4.99999999999999,5.08364251935067,NA,4.96333333333343,5.03000000000012,4.87500000000025,4.86,5.56599757585606,5.41000000000028,5.20000000000115,5.40000000000005,5.45,5.45,5.55000000000026,5.39999999999934
