"","variety","exp","type","value"
"1","BRA_008_Aviso","BGA15","SY",32.655000000007
"2","BRA_008_Aviso","EUR14","SY",29.4850000000117
"3","BRA_008_Aviso","INRAE15","SY",32.0333333333333
"4","BRA_008_Aviso","LIM15","SY",37.7850000000013
"5","BRA_008_Aviso","MAD14","SY",37.77
"6","BRA_008_Aviso","RAGT14","SY",23.3500000000001
"7","BRA_008_Aviso","RAGT15","SY",42.4637743050004
"8","BRA_008_Aviso","SYN14","SY",33.8650000000007
"9","BRA_008_Aviso","SYN15","SY",36.3759666650325
"10","BRA_008_Aviso","TI15","SY",52.5700000000014
"11","BRA_008_Aviso","MAD15","SY",30.9028697300063
"12","BRA_008_Aviso","EUR14","SN",63219.0000000199
"13","BRA_008_Aviso","BGA15","SN",78827.0000000222
"14","BRA_008_Aviso","INRAE15","SN",63152.6666666663
"15","BRA_008_Aviso","LIM15","SN",81716.9999999996
"16","BRA_008_Aviso","MAD14","SN",65894.6971817839
"17","BRA_008_Aviso","RAGT14","SN",50174.5000000068
"18","BRA_008_Aviso","RAGT15","SN",81661.1044300001
"19","BRA_008_Aviso","SYN14","SN",71283.50000001
"20","BRA_008_Aviso","EUR14","TSW",4.64999999999999
"21","BRA_008_Aviso","BGA15","TSW",4.14500000000001
"22","BRA_008_Aviso","INRAE15","TSW",5.06000000000012
"23","BRA_008_Aviso","LIM15","TSW",4.625
"24","BRA_008_Aviso","MAD14","TSW",5.63837725134486
"25","BRA_008_Aviso","RAGT14","TSW",4.65000000000005
"26","BRA_008_Aviso","RAGT15","TSW",5.2
"27","BRA_008_Aviso","SYN14","TSW",4.74999999999934
"28","R_243_Montego","BGA15","SY",25.8000000000069
"29","R_243_Montego","EUR14","SY",29.3600000000117
"30","R_243_Montego","INRAE15","SY",32.2666666666666
"31","R_243_Montego","LIM15","SY",38.5150000000013
"32","R_243_Montego","MAD14","SY",30.97
"33","R_243_Montego","RAGT14","SY",25.415
"34","R_243_Montego","RAGT15","SY",37.8691736100004
"35","R_243_Montego","SYN14","SY",37.4500000000007
"36","R_243_Montego","SYN15","SY",35.5962133300325
"37","R_243_Montego","TI15","SY",46.8700000000014
"38","R_243_Montego","MAD15","SY",23.9785075700063
"39","R_243_Montego","EUR14","SN",67481.5000000199
"40","R_243_Montego","BGA15","SN",61657.5000000222
"41","R_243_Montego","INRAE15","SN",71250.333333333
"42","R_243_Montego","LIM15","SN",92689.9999999995
"43","R_243_Montego","MAD14","SN",69573.0000000016
"44","R_243_Montego","RAGT14","SN",58276.2001095766
"45","R_243_Montego","RAGT15","SN",82324.2904600001
"46","R_243_Montego","SYN14","SN",85122.50000001
"47","R_243_Montego","EUR14","TSW",4.34999999999999
"48","R_243_Montego","BGA15","TSW",4.18000000000001
"49","R_243_Montego","INRAE15","TSW",4.52666666666679
"50","R_243_Montego","LIM15","TSW",4.155
"51","R_243_Montego","MAD14","TSW",4.45000000000027
"52","R_243_Montego","RAGT14","TSW",4.08346350790317
"53","R_243_Montego","RAGT15","TSW",4.6
"54","R_243_Montego","SYN14","TSW",4.39999999999934
"55","BRA_008_Aviso","INRA11","SN",112773.333333333
"56","BRA_008_Aviso","INRA11","SY",45.8666666666667
"57","BRA_008_Aviso","INRA11","TSW",4.08333333333333
"58","R_243_Montego","INRA11","SN",91051.6666666667
"59","R_243_Montego","INRA11","SY",39.7333333333333
"60","R_243_Montego","INRA11","TSW",4.36666666666667
